Date,Open,High,Low,Close,Adj Close,Volume
2023-09-21,144.820007,144.820007,142.899994,142.899994,141.001755,255400
2023-09-22,143.570007,143.970001,142.679993,142.789993,140.893234,282500
2023-09-25,142.009995,143.550003,142.009995,143.229996,141.327377,283800
2023-09-26,142.479996,143.369995,141.330002,141.369995,139.492096,274200
2023-09-27,142.429993,143.380005,141.419998,142.630005,140.735367,322300
2023-09-28,142.110001,144.270004,141.800003,143.630005,142.193649,228500
2023-09-29,145.000000,145.059998,143.080002,143.330002,141.896652,242800
2023-10-02,143.169998,143.380005,140.949997,141.550003,140.134430,382500
2023-10-03,140.679993,141.169998,138.270004,138.770004,137.382233,545100
2023-10-04,139.149994,139.789993,137.759995,139.580002,138.184143,394800
2023-10-05,139.330002,139.919998,138.309998,139.479996,138.085129,285000
2023-10-06,138.410004,141.899994,138.389999,141.289993,139.877029,439000
2023-10-09,140.339996,142.520004,140.259995,142.199997,140.777924,223000
2023-10-10,142.470001,144.639999,142.470001,143.750000,142.312439,191500
2023-10-11,144.050003,144.809998,142.839996,143.929993,142.490631,238600
2023-10-12,144.110001,144.110001,140.259995,141.100006,139.688934,214800
2023-10-13,141.559998,141.669998,139.250000,139.779999,138.382126,240000
2023-10-16,140.669998,142.399994,140.259995,142.119995,140.698730,412800
2023-10-17,140.990005,144.589996,140.990005,143.479996,142.045135,1620500
2023-10-18,142.270004,142.270004,139.940002,140.059998,138.659332,306800
2023-10-19,140.039993,140.789993,137.720001,138.080002,136.699127,615900
2023-10-20,138.110001,138.220001,136.160004,136.250000,134.887436,377300
2023-10-23,135.479996,137.000000,134.350006,135.100006,133.748947,511200
2023-10-24,136.179993,137.350006,135.500000,136.419998,135.055740,510200
2023-10-25,135.399994,135.470001,133.320007,133.479996,132.145142,376600
2023-10-26,133.789993,134.809998,132.800003,133.550003,132.214447,533100
2023-10-27,134.089996,134.139999,131.800003,132.070007,130.749252,590200
2023-10-30,133.279999,134.000000,131.990005,133.149994,131.818436,718600
2023-10-31,133.270004,134.610001,132.850006,134.339996,132.996521,373000
2023-11-01,134.300003,135.119995,133.320007,135.119995,133.768723,416000
2023-11-02,136.979996,138.449997,136.949997,138.440002,137.055557,291900
2023-11-03,140.000000,142.570007,139.979996,141.750000,140.332428,363900
2023-11-06,141.830002,142.000000,139.410004,140.270004,138.867233,354700
2023-11-07,140.119995,141.369995,139.630005,140.869995,139.461227,243500
2023-11-08,140.970001,141.199997,139.500000,140.000000,138.599930,286300
2023-11-09,140.619995,140.729996,137.889999,138.070007,136.689255,429300
2023-11-10,138.440002,139.800003,137.740005,139.710007,138.312836,459700
2023-11-13,138.970001,139.990005,138.570007,139.619995,138.223724,421700
2023-11-14,142.860001,145.960007,142.860001,145.779999,144.322144,661900
2023-11-15,146.009995,148.229996,145.850006,146.330002,144.866638,324300
2023-11-16,145.710007,146.059998,144.000000,144.619995,143.173737,256000
2023-11-17,145.570007,146.210007,145.169998,146.139999,144.678543,241700
2023-11-20,146.479996,147.399994,145.750000,147.149994,145.678436,260400
2023-11-21,146.210007,146.509995,145.720001,145.970001,144.510239,450800
2023-11-22,146.830002,147.550003,146.399994,146.949997,145.480423,540000
2023-11-24,146.830002,147.940002,146.630005,147.500000,146.024933,142000
2023-11-27,147.070007,147.979996,146.550003,147.580002,146.104141,251100
2023-11-28,147.490005,148.100006,146.639999,147.380005,145.906143,191600
2023-11-29,148.610001,150.289993,148.580002,148.690002,147.203033,383800
2023-11-30,149.289993,149.710007,148.720001,149.410004,147.915833,313100
2023-12-01,149.000000,153.240005,148.809998,153.139999,151.608521,324500
2023-12-04,152.389999,154.320007,152.389999,154.000000,152.459930,1489900
2023-12-05,153.479996,153.479996,151.820007,152.309998,150.786819,803200
2023-12-06,153.300003,154.779999,151.979996,152.089996,150.569031,774100
2023-12-07,152.279999,153.139999,151.580002,153.009995,151.479828,867400
2023-12-08,152.699997,154.720001,152.699997,154.179993,152.638138,1247500
2023-12-11,154.110001,155.050003,153.860001,154.869995,153.321228,319200
2023-12-12,154.759995,155.449997,153.779999,154.910004,153.360825,228600
2023-12-13,154.940002,159.339996,154.149994,159.210007,157.617844,734000
2023-12-14,161.449997,163.809998,161.029999,163.000000,161.369934,701800
2023-12-15,163.320007,163.429993,161.309998,161.850006,160.231430,3464400
2023-12-18,162.350006,163.059998,161.639999,162.270004,160.647232,444200
2023-12-19,163.100006,164.789993,163.029999,164.539993,162.894516,413400
2023-12-20,163.580002,164.929993,160.729996,160.729996,159.780029,486600
2023-12-21,162.500000,163.570007,161.809998,163.570007,162.603271,307200
2023-12-22,164.110001,165.380005,163.539993,164.479996,163.507874,288700
2023-12-26,164.979996,166.570007,164.559998,166.050003,165.068604,503100
2023-12-27,166.449997,167.050003,165.839996,166.449997,165.466232,890000
2023-12-28,166.000000,166.929993,165.960007,166.380005,165.396652,258300
2023-12-29,166.160004,166.429993,164.300003,164.419998,163.448242,382700
2024-01-02,163.050003,164.000000,161.750000,162.630005,161.668823,811300
2024-01-03,160.759995,160.779999,158.399994,158.600006,157.662643,515300
2024-01-04,158.589996,159.559998,158.210007,158.500000,157.563232,393500
2024-01-05,157.679993,159.929993,157.350006,158.649994,157.712326,287700
2024-01-08,158.929993,161.690002,158.380005,161.690002,160.734375,261800
2024-01-09,160.139999,161.350006,159.669998,160.699997,159.750229,703800
2024-01-10,160.759995,161.429993,159.600006,161.270004,160.316864,321800
2024-01-11,161.020004,161.039993,158.639999,160.490005,159.541473,394500
2024-01-12,161.559998,162.389999,159.679993,159.979996,159.034470,196700
2024-01-16,158.800003,159.380005,157.850006,158.679993,157.742157,388900
2024-01-17,156.800003,157.580002,156.369995,157.479996,156.549255,394600
2024-01-18,158.559998,158.770004,156.789993,158.500000,157.563232,242200
2024-01-19,159.070007,160.470001,157.869995,160.309998,159.362518,332400
2024-01-22,161.470001,163.529999,161.470001,162.699997,161.738403,384500
2024-01-23,163.809998,163.880005,161.759995,162.360001,161.400421,309600
2024-01-24,164.059998,164.130005,161.100006,161.210007,160.257217,443200
