Date,Open,High,Low,Close,Adj Close,Volume
2023-07-01,148.690002,157.669998,144.470001,157.630005,155.536102,5399800
2023-08-01,156.750000,157.080002,144.199997,151.119995,149.112579,6155000
2023-09-01,152.520004,153.300003,141.330002,143.330002,141.426056,5067800
2023-10-01,143.169998,144.809998,131.800003,134.339996,132.996521,10100500
2023-11-01,134.300003,150.289993,133.320007,149.410004,147.915833,7283700
2023-12-01,149.000000,167.050003,148.809998,164.419998,162.775726,14928800
2024-01-01,163.050003,164.970001,156.369995,160.380005,159.432114,8136500
2024-02-01,161.619995,170.929993,159.190002,169.940002,168.935623,6990000
2024-03-01,170.600006,176.199997,167.830002,175.270004,174.234116,6553900
2024-04-01,175.460007,175.460007,160.669998,163.910004,163.373428,7060600
2024-05-01,164.070007,174.559998,163.589996,169.619995,169.064728,8002500
2024-06-01,170.729996,172.080002,165.529999,168.789993,168.237442,4679400
2024-07-01,169.110001,182.240005,167.240005,179.440002,179.440002,12204600
2024-08-01,179.300003,180.259995,159.389999,174.009995,174.009995,4355500
2024-08-16,173.419998,174.820007,173.410004,174.360001,174.360001,177412
